№;school;grade;sex;variant;short;entire;speaking;initial;final;min
2321;136;11;М;345;++++++++++++;1(2)0(2)0(2)3(3)3(3)0(4)0(4);;19;80;27
2322;123;11;Ж;345;++++++++++++;2(2)2(2)2(2)0(3)1(3)0(4)1(4);;20;82;27
2323;127;11;М;341;++++++++++++;2(2)2(2)2(2)0(3)0(3)2(4)0(4);;20;82;27
2324;136;11;Ж;343;+++++++--+++;2(2)2(2)2(2)0(3)3(3)1(4)0(4);;20;82;27
2325;136;11;М;345;++++++++++++;0(2)2(2)2(2)1(3)3(3)0(4)0(4);;20;82;27
2326;136;11;Ж;345;+++++++-++++;2(2)2(2)2(2)0(3)0(3)3(4)0(4);;20;82;27
2327;136;11;М;343;++++++++++++;2(2)1(2)2(2)2(3)1(3)0(4)0(4);;20;82;27
2328;136;11;Ж;345;++++++++++++;2(2)2(2)2(2)0(3)1(3)0(4)1(4);;20;82;27
2329;136;11;М;338;++++++++++++;2(2)1(2)2(2)0(3)3(3)0(4)0(4);;20;82;27
2330;136;11А;М;345;++++++++++++;2(2)2(2)0(2)0(3)3(3)0(4)1(4);;20;82;27
2331;136;11Б;М;348;++++++++++++;1(2)2(2)2(2)1(3)0(3)0(4)2(4);;20;82;27
2332;136;11Б;Ж;347;++++++-+++++;2(2)2(2)2(2)1(3)0(3)0(4)2(4);;20;82;27
2333;136;11;Ж;337;++++++-+++-+;2(2)2(2)2(2)1(3)3(3)0(4)0(4);;20;82;27
2334;136;11;М;340;++++++++++++;2(2)2(2)2(2)0(3)0(3)0(4)2(4);;20;82;27
2335;136;11;М;505;+++-++++++++;2(2)0(2)2(2)0(3)1(3)4(4)0(4);;20;82;27
2336;122;11;Ж;344;++++++++++++;2(2)2(2)2(2)0(3)3(3)0(4)0(4);;21;84;27
2337;136;11;М;340;++++++++++++;2(2)2(2)2(2)0(3)1(3)1(4)1(4);;21;84;27
2338;136;11;М;337;-+++++++++++;2(2)1(2)2(2)1(3)0(3)4(4)0(4);;21;84;27
2339;136;11;Ж;340;++++++++++-+;2(2)2(2)2(2)0(3)1(3)1(4)2(4);;21;84;27
2340;136;11;Ж;348;++++++++++++;2(2)2(2)2(2)0(3)3(3)0(4)0(4);;21;84;27
2341;136;11;Ж;342;+++++-++++++;2(2)1(2)2(2)0(3)3(3)1(4)1(4);;21;84;27
2342;127;11;М;340;++++++++++++;2(2)2(2)2(2)0(3)0(3)4(4)0(4);;22;86;27
2343;130;13;Ж;501;+++++++++-+-;1(2)2(2)2(2)3(3)1(3)1(4)2(4);;22;86;27
2344;136;13;М;505;++++++++++++;2(2)0(2)2(2)0(3)3(3)0(4)4(4);;23;88;27
2345;136;11;М;342;++++++++++++;2(2)2(2)0(2)3(3)3(3)0(4)1(4);;23;88;27
2346;136;11;М;343;++++++++++++;2(2)2(2)2(2)1(3)0(3)4(4)0(4);;23;88;27
2347;136;11Б;М;343;++++++++++++;2(2)2(2)0(2)1(3)0(3)4(4)2(4);;23;88;27
2348;136;11;Ж;342;++++++++++++;2(2)2(2)2(2)1(3)3(3)1(4)0(4);;23;88;27
2349;136;11;М;343;++++++++++++;1(2)2(2)2(2)1(3)3(3)2(4)1(4);;24;90;27
2350;136;11;М;341;++++++++++++;2(2)2(2)2(2)3(3)3(3)0(4)0(4);;24;90;27
2351;136;11;М;343;++++++++++++;2(2)2(2)2(2)2(3)3(3)0(4)1(4);;24;90;27
2352;136;11;М;337;++++++++++++;2(2)2(2)2(2)3(3)3(3)0(4)1(4);;25;92;27
2353;136;11;М;341;++-+++++++++;2(2)2(2)1(2)2(3)2(3)4(4)1(4);;25;92;27
2354;136;11;М;341;++++++++++++;2(2)1(2)2(2)1(3)3(3)4(4)2(4);;27;96;27
2355;136;11;М;343;++++++++++++;2(2)2(2)2(2)0(3)3(3)4(4)2(4);;27;96;27
2356;136;11;Ж;337;++++++++++++;2(2)2(2)2(2)0(3)3(3)4(4)2(4);;27;96;27
;;;;;;;Среднее значение;;49,26;
